"id","name","location_formatted","latitude","longitude","email","phone","country","city","website","about","createdAt","id","start_date","end_date","registration_expiration","name","tuition","createdAt","kindergartenId"
"2","Al- Aqsa Kindergarten","803 Nablus, Palestinian Territory","32.237197","35.252466","Aqsa@gmail.com","0594177742","Palestine","Nablus","aqsa.edu","Nice Kindergarten","2022-09-26 14:02:16","5","2023-02-25","2023-07-25","2023-03-25","2023 First","100","2022-11-30 18:13:04","2"
"9","Al-Makhfeya","Palestine, Nablus","32.217492","35.236420","makhfeya@edu.com","45342189","Palestine","Nablus","www.jaberi.com","summary","2022-12-01 04:32:32","6","2022-12-31","2023-04-09","2023-01-19","2023 First","350","2022-12-01 04:33:32","9"
"8","Al-Jaberi Kindergarten","Palestine, Nablus","32.221399","35.238845","jaberi@edu.com","0123456789","Palestine","Nablus","www.jaberi.com","summary","2022-12-01 04:31:32","7","2023-01-20","2023-05-12","2023-02-04","2022-2023 First","320","2022-12-01 04:34:10","8"
"14","Ammany","Jordann, Amman","31.934158","35.930048","ammany@edu.com","56497542","Jordan","Amman","www.ammany.com","summary","2022-12-01 04:43:46","8","2023-01-20","2023-05-12","2023-02-04","2022-2023 First","150","2022-12-01 04:46:34","14"
"13","Amman","Jordan, Amman","31.899435","35.212263","amman@edu.com","56497542","Jordan","Amman","www.amman.com","summary","2022-12-01 04:40:09","9","2023-02-20","2023-06-23","2023-03-07","2023 First","150","2022-12-01 04:47:31","13"
"12","Al-Zarqa","Jordan, Zarqa","32.057555","36.085255","zarqa@edu.com","56497542","Palestine","Zarqa","www.zarqa.com","summary","2022-12-01 04:38:56","10","2022-01-31","2023-04-07","2022-02-09","2023 First","150","2022-12-01 04:48:17","12"
"59","‘Abasān al Kabīrah kindergarten","5 Superior Hill","31.319130","34.340050","rinsealm@gmail.com","8901362601","Palestine","‘Abasān al Kabīrah",,"summary","2021-02-19 11:41:00","12","2023-01-22","2023-05-22","2023-02-02","2022 Semester","439","2022-12-27 00:00:00","59"
"101","‘Ābūd kindergarten","7757 2nd Hill","32.016539","35.068807","skorejs1s@gmail.com","1581594781","Palestine","‘Ābūd",,"summary","2021-07-28 11:32:00","13","2023-01-28","2023-05-27","2023-02-08","2023 Semester","462","2023-01-02 00:00:00","101"
"116","‘Ayn al Bayḑā kindergarten","67609 Colorado Alley","32.380510","35.508380","ybicknell27@gmail.com","2488918505","Palestine","‘Ayn al Bayḑā",,"summary","2020-01-20 00:57:00","14","2023-01-26","2023-05-25","2023-02-06","2022 Semester","164","2022-12-31 00:00:00","116"
"62","‘Ūrīf kindergarten","7 Thackeray Road","32.158702","35.224177","pdeambrosisp@gmail.com","1591021043","Palestine","‘Ūrīf",,"summary","2019-09-29 01:24:00","15","2023-02-05","2023-06-04","2023-02-16","2023 Semester","152","2023-01-10 00:00:00","62"
"4","Al -Noor","Russeifa Sub-District, Jordan","31.934158","35.890048","noor@gmail.com","0597417542","Jordan","Amman","noor.com","Nice","2022-11-26 14:14:01","16","2023-01-23","2023-05-23","2023-02-03","2022 Semester","497","2022-12-28 00:00:00","4"
"114","Al ‘Ayzarīyah kindergarten","45 Glacier Hill Parkway","31.770780","35.269160","garundell25@gmail.com","4552727363","Palestine","Al ‘Ayzarīyah",,"summary","2022-01-13 17:03:00","17","2023-01-27","2023-05-26","2023-02-07","2023 Semester","239","2023-01-01 00:00:00","114"
"67","Al Jīb kindergarten","8 Kennedy Park","31.850989","35.183103","ualburyu@gmail.com","3372700490","Palestine","Al Jīb",,"summary","2021-09-09 02:48:00","18","2023-01-23","2023-05-23","2023-02-03","2022 Semester","190","2022-12-28 00:00:00","67"
"121","Al Judayrah kindergarten","1 Basil Avenue","31.855870","35.197060","bmilksop2c@gmail.com","7107534855","Palestine","Al Judayrah",,"summary","2021-04-18 04:07:00","19","2023-01-12","2023-05-12","2023-01-23","2022 Semester","396","2022-12-17 00:00:00","121"
"163","Al Karmil kindergarten","9 Bonner Place","31.423010","35.132780","bpriden3i@gmail.com","8698859503","Palestine","Al Karmil",,"summary","2021-12-19 09:29:00","20","2023-01-29","2023-05-28","2023-02-09","2023 Semester","384","2023-01-03 00:00:00","163"
"285","Al Jumūm kindergarten","5 Sugar Road","39.713718","21.647479","sbenedettini3@gmail.com","3902173471","Saudi Arabia","Al Jumūm",,"summary","2021-05-22 12:19:00","21","2023-01-24","2023-05-24","2023-02-04","2022 Semester","254","2022-12-29 00:00:00","285"
"155","Al Qarārah kindergarten","3 Fairfield Park","31.373890","34.340850","chammerich3a@gmail.com","9394800908","Palestine","Al Qarārah",,"summary","2020-10-06 04:42:00","22","2023-02-01","2023-05-31","2023-02-12","2023 Semester","438","2023-01-06 00:00:00","155"
"11","Al-bereh","Palestine, Ramallah, bereh","31.899435","35.212263","bereh@edu.com","12515421","Palestine","Ramallah","www.bereh.com","summary","2022-12-01 04:37:04","23","2023-01-11","2023-05-11","2023-01-22","2022 Semester","404","2022-12-16 00:00:00","11"
"10","Al-Masyoun","Palestine, Ramallah, masyoun","31.894480","35.197146","masyoun@edu.com","12515421","Palestine","Ramallah","www.masoun.com","summary","2022-12-01 04:36:34","24","2023-02-02","2023-06-01","2023-02-13","2023 Semester","177","2023-01-07 00:00:00","10"
"42","Ash Shuhadā’ kindergarten","148 Merchant Lane","32.429490","35.271120","bambrosini5@gmail.com","7166451500","Palestine","Ash Shuhadā’",,"summary","2019-10-06 01:28:00","25","2023-01-30","2023-05-29","2023-02-10","2023 Semester","223","2023-01-04 00:00:00","42"
"63","Ash Shuyūkh kindergarten","593 Dovetail Lane","31.574996","35.149421","isucreq@gmail.com","8414727884","Palestine","Ash Shuyūkh",,"summary","2018-12-20 08:22:00","26","2023-02-05","2023-06-04","2023-02-16","2023 Semester","497","2023-01-10 00:00:00","63"
"22","Baghdad Kindergarten","Iraq, Baghdad","31.899435","35.212263","baghdad@edu.com","12515421","Iraq","Baghdad","www.irqa.com","summary","2022-12-01 07:09:36","27","2023-01-18","2023-05-18","2023-01-29","2022 Semester","461","2022-12-23 00:00:00","22"
